type,code,name,description,cost,letters
Badge,102,Close 10k,"Badge with close set pearls, 10 karat gold † #",175,
Badge,103,Crown 10k,"Badge with crown set pearls, 10 karat gold † #",215,
Badge,106,Crown Vermeil,"Badge with crown set pearls, Vermeil (silver w/24k fine gold plate) † #",68,
Badge,107,Crown Filled,"Badge with crown set pearls, Gold-Filled/Layered #  †",119,
Badge,108,Brass,Brass Badge with gold plating  †,38,
Badge,705,Colony,Colony Member Pin ,4,
Guard,0200s,One Plain plated,"Plain, gold-plated",18,1
Guard,0400s,One Close plated,"Close set pearls, gold-plated",38,1
Guard,0600s,One Crown plated,"Crown set pearls, gold-plated",40,1
Guard,0800s,One Engraved plated,"Engraved/Chased/Etched, gold-plated",20,1
Guard,0200d,Two Plain plated,"Plain, gold-plated",20,2
Guard,0400d,Two Close plated,"Close set pearls, gold-plated",48,2
Guard,0600d,Two Crown plated,"Crown set pearls, gold-plated",52,2
Guard,0800d,Two Engraved plated,"Engraved/Chased/Etched, gold-plated",32,2
Guard,9000s,One Plain 10k,"Plain, 10k gold",38,1
Guard,9003s,One Close 10k,"Close set pearls, 10k gold",68,1
Guard,9002s,One Crown 10k,"Crown set pearls, 10k gold",77,1
Guard,9001s,One Engraved 10k,"Engraved/Chased/Etched, 10k gold",42,1
Guard,9000d,Two Plain 10k,"Plain, 10k gold",49,2
Guard,9003d,Two Close 10k,"Close set pearls, 10k gold",86,2
Guard,9002d,Two Crown 10k,"Crown set pearls, 10k gold",96,2
Guard,9001d,Two Engraved 10k,"Engraved/Chased/Etched, 10k gold",52,2
